Question_Type_Preference,Most_Challenging_Topic,Confidence_in_Concepts,Error_Analysis,Memorization_vs_Application
Reaction-based,Organic Chemistry,Poorly,Lack of concept clarity,Both
Numerical,Organic Chemistry,Very Well,Lack of concept clarity,Logical Application
Theoretical,Organic Chemistry,Well,Time pressure,Logical Application
Theoretical,Organic Chemistry,Poorly,Lack of concept clarity,Both
Numerical,Inorganic Chemistry,Well,Lack of concept clarity,Memorization
Reaction-based,Organic Chemistry,Neutral,Confusion between similar reactions,Logical Application
Theoretical,Organic Chemistry,Very Well,Confusion between similar reactions,Both
Theoretical,Physical Chemistry,Poorly,Time pressure,Both
Theoretical,Inorganic Chemistry,Neutral,Incorrect calculations,Memorization
Reaction-based,Organic Chemistry,Neutral,Lack of concept clarity,Logical Application
Reaction-based,Inorganic Chemistry,Very Well,Lack of concept clarity,Both
Numerical,Inorganic Chemistry,Poorly,Incorrect calculations,Logical Application
Reaction-based,Physical Chemistry,Well,Lack of concept clarity,Logical Application
Theoretical,Inorganic Chemistry,Very Well,Incorrect calculations,Logical Application
Reaction-based,Physical Chemistry,Well,Lack of concept clarity,Both
Reaction-based,Physical Chemistry,Very Well,Lack of concept clarity,Both
Reaction-based,Organic Chemistry,Poorly,Time pressure,Memorization
Reaction-based,Organic Chemistry,Poorly,Time pressure,Both
Theoretical,Organic Chemistry,Well,Lack of concept clarity,Logical Application
Theoretical,Inorganic Chemistry,Very Well,Incorrect calculations,Memorization
Reaction-based,Inorganic Chemistry,Neutral,Time pressure,Both
Numerical,Physical Chemistry,Well,Time pressure,Logical Application
Numerical,Organic Chemistry,Very Well,Incorrect calculations,Both
Reaction-based,Organic Chemistry,Poorly,Incorrect calculations,Both
Numerical,Inorganic Chemistry,Neutral,Confusion between similar reactions,Memorization
Reaction-based,Organic Chemistry,Very Well,Incorrect calculations,Memorization
Numerical,Physical Chemistry,Neutral,Incorrect calculations,Logical Application
Reaction-based,Inorganic Chemistry,Neutral,Incorrect calculations,Memorization
Numerical,Physical Chemistry,Poorly,Time pressure,Memorization
Reaction-based,Organic Chemistry,Neutral,Incorrect calculations,Both
Numerical,Physical Chemistry,Very Well,Time pressure,Both
Reaction-based,Inorganic Chemistry,Neutral,Lack of concept clarity,Memorization
Reaction-based,Inorganic Chemistry,Well,Incorrect calculations,Memorization
Theoretical,Physical Chemistry,Well,Confusion between similar reactions,Memorization
Numerical,Physical Chemistry,Well,Incorrect calculations,Logical Application
Reaction-based,Inorganic Chemistry,Poorly,Lack of concept clarity,Memorization
Numerical,Organic Chemistry,Well,Incorrect calculations,Memorization
Theoretical,Physical Chemistry,Well,Confusion between similar reactions,Both
Reaction-based,Organic Chemistry,Poorly,Incorrect calculations,Logical Application
Numerical,Organic Chemistry,Very Well,Confusion between similar reactions,Memorization
Reaction-based,Inorganic Chemistry,Well,Confusion between similar reactions,Memorization
Numerical,Organic Chemistry,Poorly,Lack of concept clarity,Logical Application
Reaction-based,Physical Chemistry,Neutral,Lack of concept clarity,Logical Application
Numerical,Organic Chemistry,Very Well,Incorrect calculations,Memorization
Reaction-based,Inorganic Chemistry,Poorly,Incorrect calculations,Memorization
Theoretical,Organic Chemistry,Well,Confusion between similar reactions,Memorization
Theoretical,Physical Chemistry,Well,Time pressure,Memorization
Reaction-based,Organic Chemistry,Well,Time pressure,Both
Numerical,Organic Chemistry,Well,Confusion between similar reactions,Both
Reaction-based,Organic Chemistry,Poorly,Lack of concept clarity,Logical Application
Reaction-based,Inorganic Chemistry,Well,Time pressure,Logical Application
Reaction-based,Organic Chemistry,Well,Lack of concept clarity,Logical Application
Theoretical,Physical Chemistry,Very Well,Time pressure,Logical Application
Reaction-based,Organic Chemistry,Poorly,Lack of concept clarity,Logical Application
Numerical,Organic Chemistry,Poorly,Incorrect calculations,Memorization
Theoretical,Inorganic Chemistry,Neutral,Lack of concept clarity,Logical Application
Reaction-based,Organic Chemistry,Well,Lack of concept clarity,Memorization
Numerical,Organic Chemistry,Poorly,Time pressure,Memorization
Theoretical,Organic Chemistry,Well,Confusion between similar reactions,Logical Application
Reaction-based,Inorganic Chemistry,Neutral,Lack of concept clarity,Both
Numerical,Inorganic Chemistry,Neutral,Confusion between similar reactions,Logical Application
Theoretical,Inorganic Chemistry,Well,Lack of concept clarity,Both
Numerical,Physical Chemistry,Neutral,Incorrect calculations,Both
Numerical,Physical Chemistry,Neutral,Confusion between similar reactions,Memorization
Theoretical,Physical Chemistry,Very Well,Lack of concept clarity,Logical Application
Theoretical,Organic Chemistry,Poorly,Confusion between similar reactions,Memorization
Numerical,Organic Chemistry,Very Well,Incorrect calculations,Logical Application
Numerical,Inorganic Chemistry,Neutral,Time pressure,Memorization
Reaction-based,Physical Chemistry,Poorly,Lack of concept clarity,Logical Application
Numerical,Physical Chemistry,Very Well,Time pressure,Memorization
Theoretical,Inorganic Chemistry,Well,Incorrect calculations,Both
Numerical,Physical Chemistry,Very Well,Time pressure,Logical Application
Reaction-based,Organic Chemistry,Neutral,Confusion between similar reactions,Logical Application
Reaction-based,Organic Chemistry,Poorly,Confusion between similar reactions,Logical Application
Numerical,Inorganic Chemistry,Neutral,Confusion between similar reactions,Logical Application
Numerical,Inorganic Chemistry,Poorly,Time pressure,Both
Numerical,Inorganic Chemistry,Poorly,Confusion between similar reactions,Memorization
Numerical,Organic Chemistry,Well,Lack of concept clarity,Memorization
Numerical,Organic Chemistry,Poorly,Confusion between similar reactions,Memorization
Reaction-based,Inorganic Chemistry,Very Well,Incorrect calculations,Both
Reaction-based,Physical Chemistry,Very Well,Time pressure,Memorization
Reaction-based,Organic Chemistry,Neutral,Lack of concept clarity,Memorization
Reaction-based,Organic Chemistry,Neutral,Confusion between similar reactions,Both
Theoretical,Physical Chemistry,Poorly,Confusion between similar reactions,Both
Reaction-based,Physical Chemistry,Well,Confusion between similar reactions,Both
Theoretical,Physical Chemistry,Very Well,Incorrect calculations,Logical Application
Theoretical,Physical Chemistry,Poorly,Confusion between similar reactions,Both
Theoretical,Organic Chemistry,Poorly,Time pressure,Both
Reaction-based,Physical Chemistry,Well,Incorrect calculations,Memorization
Numerical,Inorganic Chemistry,Poorly,Time pressure,Logical Application
Reaction-based,Organic Chemistry,Very Well,Incorrect calculations,Both
Theoretical,Organic Chemistry,Well,Confusion between similar reactions,Memorization
Theoretical,Inorganic Chemistry,Poorly,Time pressure,Both
Reaction-based,Inorganic Chemistry,Poorly,Lack of concept clarity,Memorization
Theoretical,Physical Chemistry,Poorly,Confusion between similar reactions,Logical Application
Numerical,Physical Chemistry,Neutral,Confusion between similar reactions,Both
Numerical,Organic Chemistry,Well,Incorrect calculations,Both
Theoretical,Organic Chemistry,Neutral,Confusion between similar reactions,Logical Application
Reaction-based,Organic Chemistry,Neutral,Time pressure,Memorization
Reaction-based,Organic Chemistry,Neutral,Confusion between similar reactions,Memorization
Theoretical,Inorganic Chemistry,Well,Incorrect calculations,Memorization
Reaction-based,Physical Chemistry,Neutral,Incorrect calculations,Both
Numerical,Organic Chemistry,Well,Confusion between similar reactions,Memorization
Numerical,Physical Chemistry,Very Well,Confusion between similar reactions,Memorization
Numerical,Organic Chemistry,Neutral,Lack of concept clarity,Both
Numerical,Organic Chemistry,Very Well,Time pressure,Logical Application
Reaction-based,Organic Chemistry,Well,Confusion between similar reactions,Logical Application
Numerical,Inorganic Chemistry,Very Well,Incorrect calculations,Logical Application
Theoretical,Organic Chemistry,Very Well,Lack of concept clarity,Both
Reaction-based,Inorganic Chemistry,Neutral,Confusion between similar reactions,Both
Theoretical,Organic Chemistry,Well,Confusion between similar reactions,Logical Application
Numerical,Inorganic Chemistry,Very Well,Confusion between similar reactions,Both
Numerical,Physical Chemistry,Well,Time pressure,Memorization
Numerical,Inorganic Chemistry,Neutral,Incorrect calculations,Logical Application
Theoretical,Inorganic Chemistry,Well,Time pressure,Logical Application
Numerical,Organic Chemistry,Neutral,Confusion between similar reactions,Logical Application
Reaction-based,Inorganic Chemistry,Neutral,Lack of concept clarity,Both
Reaction-based,Physical Chemistry,Neutral,Incorrect calculations,Both
Theoretical,Physical Chemistry,Very Well,Lack of concept clarity,Logical Application
Numerical,Physical Chemistry,Well,Time pressure,Memorization
Reaction-based,Organic Chemistry,Very Well,Lack of concept clarity,Logical Application
Reaction-based,Physical Chemistry,Well,Lack of concept clarity,Logical Application
Theoretical,Organic Chemistry,Poorly,Incorrect calculations,Logical Application
Numerical,Inorganic Chemistry,Poorly,Confusion between similar reactions,Memorization
Numerical,Organic Chemistry,Neutral,Time pressure,Memorization
Reaction-based,Organic Chemistry,Poorly,Incorrect calculations,Logical Application
Numerical,Inorganic Chemistry,Very Well,Incorrect calculations,Logical Application
Reaction-based,Organic Chemistry,Well,Lack of concept clarity,Both
Numerical,Inorganic Chemistry,Neutral,Incorrect calculations,Both
Numerical,Inorganic Chemistry,Neutral,Incorrect calculations,Logical Application
Theoretical,Organic Chemistry,Very Well,Lack of concept clarity,Both
Numerical,Inorganic Chemistry,Very Well,Time pressure,Logical Application
Theoretical,Physical Chemistry,Neutral,Lack of concept clarity,Memorization
Reaction-based,Physical Chemistry,Neutral,Lack of concept clarity,Both
Reaction-based,Organic Chemistry,Well,Time pressure,Memorization
Numerical,Inorganic Chemistry,Neutral,Confusion between similar reactions,Logical Application
Reaction-based,Organic Chemistry,Well,Time pressure,Memorization
Theoretical,Organic Chemistry,Well,Incorrect calculations,Memorization
Numerical,Physical Chemistry,Very Well,Time pressure,Logical Application
Reaction-based,Organic Chemistry,Very Well,Confusion between similar reactions,Memorization
Theoretical,Inorganic Chemistry,Very Well,Incorrect calculations,Logical Application
Theoretical,Physical Chemistry,Neutral,Confusion between similar reactions,Logical Application
Theoretical,Inorganic Chemistry,Very Well,Confusion between similar reactions,Logical Application
Numerical,Inorganic Chemistry,Poorly,Lack of concept clarity,Logical Application
Numerical,Organic Chemistry,Neutral,Lack of concept clarity,Memorization
Numerical,Inorganic Chemistry,Very Well,Confusion between similar reactions,Both
Reaction-based,Inorganic Chemistry,Well,Lack of concept clarity,Both
Reaction-based,Organic Chemistry,Well,Incorrect calculations,Logical Application
Reaction-based,Inorganic Chemistry,Well,Confusion between similar reactions,Both
Reaction-based,Inorganic Chemistry,Very Well,Incorrect calculations,Logical Application
Reaction-based,Physical Chemistry,Neutral,Incorrect calculations,Memorization
Theoretical,Physical Chemistry,Well,Incorrect calculations,Memorization
Numerical,Physical Chemistry,Well,Time pressure,Logical Application
Reaction-based,Organic Chemistry,Neutral,Incorrect calculations,Both
Theoretical,Inorganic Chemistry,Well,Lack of concept clarity,Logical Application
Theoretical,Inorganic Chemistry,Well,Confusion between similar reactions,Both
Reaction-based,Organic Chemistry,Very Well,Confusion between similar reactions,Logical Application
Theoretical,Organic Chemistry,Neutral,Time pressure,Both
Theoretical,Inorganic Chemistry,Well,Time pressure,Both
Theoretical,Organic Chemistry,Poorly,Lack of concept clarity,Memorization
Theoretical,Organic Chemistry,Poorly,Lack of concept clarity,Memorization
Theoretical,Inorganic Chemistry,Well,Time pressure,Logical Application
Reaction-based,Organic Chemistry,Neutral,Incorrect calculations,Memorization
Theoretical,Organic Chemistry,Well,Lack of concept clarity,Logical Application
Reaction-based,Inorganic Chemistry,Very Well,Time pressure,Memorization
Numerical,Organic Chemistry,Very Well,Lack of concept clarity,Memorization
Theoretical,Organic Chemistry,Neutral,Incorrect calculations,Both
Theoretical,Inorganic Chemistry,Well,Lack of concept clarity,Memorization
Theoretical,Inorganic Chemistry,Poorly,Incorrect calculations,Both
Reaction-based,Physical Chemistry,Poorly,Lack of concept clarity,Memorization
Reaction-based,Inorganic Chemistry,Very Well,Incorrect calculations,Logical Application
Reaction-based,Inorganic Chemistry,Well,Lack of concept clarity,Logical Application
Reaction-based,Organic Chemistry,Neutral,Lack of concept clarity,Logical Application
Numerical,Organic Chemistry,Well,Incorrect calculations,Memorization
Numerical,Organic Chemistry,Poorly,Time pressure,Memorization
Reaction-based,Organic Chemistry,Well,Lack of concept clarity,Logical Application
Numerical,Inorganic Chemistry,Well,Lack of concept clarity,Memorization
Reaction-based,Inorganic Chemistry,Neutral,Lack of concept clarity,Both
Numerical,Organic Chemistry,Well,Time pressure,Logical Application
Theoretical,Physical Chemistry,Well,Lack of concept clarity,Logical Application
Numerical,Organic Chemistry,Poorly,Lack of concept clarity,Both
Theoretical,Physical Chemistry,Neutral,Time pressure,Both
Reaction-based,Inorganic Chemistry,Very Well,Incorrect calculations,Both
Reaction-based,Organic Chemistry,Neutral,Time pressure,Both
Numerical,Organic Chemistry,Neutral,Incorrect calculations,Logical Application
Theoretical,Physical Chemistry,Very Well,Confusion between similar reactions,Logical Application
Reaction-based,Inorganic Chemistry,Well,Confusion between similar reactions,Logical Application
Numerical,Inorganic Chemistry,Poorly,Time pressure,Logical Application
Reaction-based,Organic Chemistry,Neutral,Lack of concept clarity,Both
Reaction-based,Organic Chemistry,Poorly,Time pressure,Logical Application
Theoretical,Physical Chemistry,Well,Lack of concept clarity,Logical Application
Numerical,Organic Chemistry,Neutral,Lack of concept clarity,Logical Application
Theoretical,Physical Chemistry,Very Well,Lack of concept clarity,Logical Application
Reaction-based,Inorganic Chemistry,Neutral,Incorrect calculations,Memorization
Reaction-based,Physical Chemistry,Well,Incorrect calculations,Logical Application
Reaction-based,Organic Chemistry,Well,Time pressure,Memorization
Numerical,Inorganic Chemistry,Very Well,Time pressure,Memorization
Numerical,Organic Chemistry,Neutral,Incorrect calculations,Logical Application
Reaction-based,Physical Chemistry,Very Well,Confusion between similar reactions,Memorization
Numerical,Organic Chemistry,Very Well,Incorrect calculations,Both
Reaction-based,Organic Chemistry,Well,Time pressure,Memorization
Numerical,Organic Chemistry,Poorly,Lack of concept clarity,Memorization
Theoretical,Organic Chemistry,Poorly,Confusion between similar reactions,Memorization
Reaction-based,Physical Chemistry,Very Well,Lack of concept clarity,Memorization
Reaction-based,Inorganic Chemistry,Very Well,Confusion between similar reactions,Logical Application
Reaction-based,Inorganic Chemistry,Neutral,Confusion between similar reactions,Both
Numerical,Inorganic Chemistry,Very Well,Lack of concept clarity,Logical Application
Numerical,Inorganic Chemistry,Very Well,Lack of concept clarity,Memorization
Theoretical,Inorganic Chemistry,Very Well,Time pressure,Both
Theoretical,Physical Chemistry,Neutral,Time pressure,Memorization
Numerical,Organic Chemistry,Poorly,Time pressure,Both
Theoretical,Inorganic Chemistry,Neutral,Incorrect calculations,Both
Numerical,Physical Chemistry,Very Well,Time pressure,Memorization
Theoretical,Organic Chemistry,Very Well,Lack of concept clarity,Logical Application
Numerical,Organic Chemistry,Poorly,Lack of concept clarity,Both
Reaction-based,Physical Chemistry,Well,Time pressure,Both
Theoretical,Physical Chemistry,Well,Confusion between similar reactions,Memorization
Reaction-based,Inorganic Chemistry,Well,Confusion between similar reactions,Logical Application
Reaction-based,Organic Chemistry,Very Well,Incorrect calculations,Memorization
Theoretical,Inorganic Chemistry,Poorly,Incorrect calculations,Both
Theoretical,Inorganic Chemistry,Poorly,Lack of concept clarity,Both
Reaction-based,Organic Chemistry,Neutral,Confusion between similar reactions,Both
Reaction-based,Organic Chemistry,Neutral,Incorrect calculations,Both
Reaction-based,Inorganic Chemistry,Very Well,Lack of concept clarity,Both
Numerical,Physical Chemistry,Poorly,Confusion between similar reactions,Logical Application
Theoretical,Inorganic Chemistry,Poorly,Incorrect calculations,Logical Application
Theoretical,Physical Chemistry,Poorly,Confusion between similar reactions,Logical Application
Theoretical,Organic Chemistry,Very Well,Lack of concept clarity,Both
Theoretical,Organic Chemistry,Neutral,Time pressure,Both
Numerical,Physical Chemistry,Well,Confusion between similar reactions,Logical Application
Numerical,Physical Chemistry,Poorly,Confusion between similar reactions,Logical Application
Theoretical,Physical Chemistry,Neutral,Incorrect calculations,Memorization
Theoretical,Organic Chemistry,Well,Incorrect calculations,Both
Theoretical,Inorganic Chemistry,Very Well,Lack of concept clarity,Memorization
Reaction-based,Inorganic Chemistry,Poorly,Incorrect calculations,Memorization
Numerical,Inorganic Chemistry,Very Well,Incorrect calculations,Logical Application
Reaction-based,Inorganic Chemistry,Poorly,Lack of concept clarity,Logical Application
Reaction-based,Inorganic Chemistry,Well,Incorrect calculations,Logical Application
Numerical,Organic Chemistry,Poorly,Time pressure,Memorization
Reaction-based,Organic Chemistry,Very Well,Time pressure,Memorization
Reaction-based,Physical Chemistry,Well,Incorrect calculations,Memorization
Reaction-based,Inorganic Chemistry,Well,Confusion between similar reactions,Logical Application
Reaction-based,Inorganic Chemistry,Very Well,Lack of concept clarity,Memorization
Theoretical,Organic Chemistry,Neutral,Lack of concept clarity,Logical Application
Theoretical,Organic Chemistry,Well,Incorrect calculations,Memorization
Theoretical,Inorganic Chemistry,Well,Incorrect calculations,Logical Application
Numerical,Physical Chemistry,Neutral,Incorrect calculations,Logical Application
Theoretical,Organic Chemistry,Poorly,Lack of concept clarity,Logical Application
Theoretical,Physical Chemistry,Very Well,Incorrect calculations,Both
Theoretical,Organic Chemistry,Neutral,Confusion between similar reactions,Both
Theoretical,Inorganic Chemistry,Well,Confusion between similar reactions,Memorization
Reaction-based,Inorganic Chemistry,Poorly,Confusion between similar reactions,Logical Application
Reaction-based,Organic Chemistry,Very Well,Time pressure,Memorization
Reaction-based,Physical Chemistry,Poorly,Confusion between similar reactions,Memorization
Reaction-based,Organic Chemistry,Poorly,Time pressure,Memorization
Numerical,Physical Chemistry,Well,Lack of concept clarity,Memorization
Theoretical,Physical Chemistry,Very Well,Incorrect calculations,Logical Application
Theoretical,Organic Chemistry,Neutral,Time pressure,Memorization
Theoretical,Inorganic Chemistry,Well,Time pressure,Memorization
Reaction-based,Physical Chemistry,Poorly,Time pressure,Memorization
Numerical,Physical Chemistry,Neutral,Confusion between similar reactions,Both
Theoretical,Organic Chemistry,Poorly,Incorrect calculations,Memorization
Theoretical,Physical Chemistry,Poorly,Time pressure,Both
Reaction-based,Physical Chemistry,Poorly,Lack of concept clarity,Both
Reaction-based,Inorganic Chemistry,Neutral,Incorrect calculations,Memorization
Reaction-based,Physical Chemistry,Very Well,Lack of concept clarity,Memorization
Theoretical,Physical Chemistry,Neutral,Confusion between similar reactions,Logical Application
Numerical,Physical Chemistry,Poorly,Time pressure,Memorization
Theoretical,Physical Chemistry,Very Well,Confusion between similar reactions,Logical Application
Reaction-based,Organic Chemistry,Very Well,Confusion between similar reactions,Memorization
Numerical,Physical Chemistry,Neutral,Confusion between similar reactions,Memorization
Reaction-based,Physical Chemistry,Poorly,Confusion between similar reactions,Both
Reaction-based,Physical Chemistry,Very Well,Lack of concept clarity,Memorization
Numerical,Physical Chemistry,Very Well,Confusion between similar reactions,Memorization
Reaction-based,Physical Chemistry,Poorly,Lack of concept clarity,Both
Theoretical,Inorganic Chemistry,Poorly,Lack of concept clarity,Memorization
Numerical,Physical Chemistry,Neutral,Incorrect calculations,Logical Application
Theoretical,Organic Chemistry,Well,Time pressure,Memorization
Numerical,Organic Chemistry,Poorly,Lack of concept clarity,Logical Application
Reaction-based,Organic Chemistry,Neutral,Lack of concept clarity,Memorization
Reaction-based,Physical Chemistry,Well,Incorrect calculations,Logical Application
Reaction-based,Inorganic Chemistry,Well,Time pressure,Logical Application
Theoretical,Organic Chemistry,Poorly,Lack of concept clarity,Both
Theoretical,Organic Chemistry,Very Well,Confusion between similar reactions,Logical Application
Theoretical,Organic Chemistry,Well,Incorrect calculations,Logical Application
Theoretical,Inorganic Chemistry,Neutral,Time pressure,Memorization
Reaction-based,Inorganic Chemistry,Very Well,Time pressure,Logical Application
Reaction-based,Organic Chemistry,Poorly,Confusion between similar reactions,Memorization
Reaction-based,Organic Chemistry,Neutral,Confusion between similar reactions,Logical Application
Numerical,Inorganic Chemistry,Very Well,Incorrect calculations,Memorization
Reaction-based,Physical Chemistry,Very Well,Confusion between similar reactions,Logical Application
Reaction-based,Physical Chemistry,Very Well,Confusion between similar reactions,Both
Numerical,Inorganic Chemistry,Well,Lack of concept clarity,Logical Application
Numerical,Organic Chemistry,Well,Confusion between similar reactions,Logical Application
Reaction-based,Inorganic Chemistry,Very Well,Confusion between similar reactions,Logical Application
Numerical,Physical Chemistry,Poorly,Time pressure,Logical Application
Theoretical,Inorganic Chemistry,Poorly,Lack of concept clarity,Memorization
Reaction-based,Physical Chemistry,Poorly,Time pressure,Memorization
Theoretical,Physical Chemistry,Poorly,Lack of concept clarity,Both
Theoretical,Physical Chemistry,Poorly,Incorrect calculations,Logical Application
Numerical,Physical Chemistry,Well,Confusion between similar reactions,Logical Application
Numerical,Organic Chemistry,Poorly,Time pressure,Logical Application
Reaction-based,Organic Chemistry,Very Well,Confusion between similar reactions,Logical Application
Reaction-based,Physical Chemistry,Well,Incorrect calculations,Logical Application
Reaction-based,Organic Chemistry,Neutral,Lack of concept clarity,Logical Application
Reaction-based,Inorganic Chemistry,Neutral,Time pressure,Both
Numerical,Inorganic Chemistry,Poorly,Confusion between similar reactions,Both
Numerical,Inorganic Chemistry,Poorly,Time pressure,Memorization
Theoretical,Inorganic Chemistry,Well,Lack of concept clarity,Logical Application
Reaction-based,Organic Chemistry,Neutral,Confusion between similar reactions,Logical Application
Numerical,Organic Chemistry,Well,Incorrect calculations,Logical Application
Theoretical,Physical Chemistry,Well,Lack of concept clarity,Both
Theoretical,Organic Chemistry,Neutral,Confusion between similar reactions,Memorization
Numerical,Organic Chemistry,Very Well,Incorrect calculations,Logical Application
Numerical,Organic Chemistry,Very Well,Confusion between similar reactions,Both
Reaction-based,Inorganic Chemistry,Very Well,Incorrect calculations,Memorization
Numerical,Inorganic Chemistry,Neutral,Time pressure,Logical Application
Numerical,Inorganic Chemistry,Well,Time pressure,Logical Application
Theoretical,Organic Chemistry,Well,Confusion between similar reactions,Both
Theoretical,Organic Chemistry,Neutral,Lack of concept clarity,Both
Numerical,Inorganic Chemistry,Very Well,Lack of concept clarity,Memorization
Numerical,Physical Chemistry,Poorly,Incorrect calculations,Memorization
Numerical,Inorganic Chemistry,Very Well,Confusion between similar reactions,Both
Reaction-based,Physical Chemistry,Neutral,Time pressure,Logical Application
Numerical,Physical Chemistry,Neutral,Lack of concept clarity,Both
Reaction-based,Physical Chemistry,Poorly,Incorrect calculations,Logical Application
Reaction-based,Inorganic Chemistry,Neutral,Lack of concept clarity,Both
Reaction-based,Organic Chemistry,Poorly,Lack of concept clarity,Memorization
Reaction-based,Inorganic Chemistry,Neutral,Confusion between similar reactions,Memorization
Theoretical,Organic Chemistry,Neutral,Time pressure,Both
